Angle,Speed ,Range,Projectile_Range
31.79,100.9,82.3,71.79
34.51,105.1,84.9,81.21
33.01,108.1,88.5,84.07
30.77,105.3,79.4,76.75
32.57,107.8,87.4,83.02
34.18,103.2,83.2,77.94
34.55,107.8,87.38,85.48
29.71,105.1,84,74.88
33.11,97.7,81.69,68.77
31.1,110.8,84.09,85.5
32.53,103.8,81.58,76.92
29.64,103.7,85.2,72.79
34.08,100.9,81.83,74.41
29.19,104.6,86.16,73.36
25.2,109.4,81.24,72.61
25.2,109.4,80.67,72.61
31,106.1,84.52,78.26
31.76,110,92.97,85.27
30.93,108.3,87.33,81.43
33.01,105.7,87.72,80.37
34.68,101,82.2,75.16
35.56,94.6,72.3,66.67
27.44,107.5,82.68,74.42
31.14,104.2,78.67,75.68
33.26,97.7,75.33,68.93
32.08,107.6,88.5,82.04
28.29,106,82.89,73.84
33.22,104.7,88.72,79.12
32.45,102,84.58,74.18
